Abasto,Cultura,E_basica,E_media,E_superior,Empleo,Espacio_ab,Est_Tpte,Pob_2010,Salud_cama,Salud_cons,cve_ent,cve_mun,cve_sun,cvegeo,gmu,iisu_cd,iisu_sun,sun
43.0,0.0,4.0,0.0,0.0,1469.0,0.0,0.0,4,0.0,0.0,03,003,M03.01,0300300013180047,bajo,Alto,Alto,La Paz
43.0,0.0,4.0,0.0,0.0,1469.0,0.0,0.0,41,0.0,0.0,03,003,M03.01,0300300013180028,bajo,Alto,Alto,La Paz
68.0,0.0,4.0,0.0,0.0,2002.0,0.0,0.0,95,0.0,4.0,03,003,M03.01,0300300013180037,bajo,Alto,Alto,La Paz
68.0,0.0,4.0,0.0,0.0,2002.0,0.0,0.0,61,0.0,4.0,03,003,M03.01,0300300013180036,bajo,Alto,Alto,La Paz
68.0,0.0,4.0,0.0,0.0,2002.0,0.0,0.0,17,0.0,4.0,03,003,M03.01,0300300013180035,bajo,Alto,Alto,La Paz
68.0,0.0,4.0,0.0,0.0,2002.0,0.0,0.0,77,0.0,4.0,03,003,M03.01,0300300013180025,bajo,Alto,Alto,La Paz
43.0,0.0,4.0,0.0,0.0,1469.0,0.0,0.0,66,0.0,0.0,03,003,M03.01,0300300013180016,bajo,Alto,Alto,La Paz
85.0,2.0,4.0,0.0,0.0,1946.0,0.0,0.0,33,0.0,3.0,03,003,M03.01,0300300013180017,bajo,Alto,Alto,La Paz
85.0,2.0,4.0,0.0,0.0,1946.0,0.0,0.0,39,0.0,3.0,03,003,M03.01,0300300013180041,bajo,Alto,Alto,La Paz
85.0,2.0,4.0,0.0,0.0,1946.0,0.0,0.0,53,0.0,3.0,03,003,M03.01,0300300013180043,bajo,Alto,Alto,La Paz
43.0,0.0,4.0,0.0,0.0,1469.0,0.0,0.0,14,0.0,0.0,03,003,M03.01,0300300013180015,bajo,Alto,Alto,La Paz
32.0,0.0,2.0,0.0,0.0,976.0,0.0,0.0,31,0.0,0.0,03,003,M03.01,0300300013180013,bajo,Alto,Alto,La Paz
32.0,0.0,2.0,0.0,0.0,976.0,0.0,0.0,46,0.0,0.0,03,003,M03.01,0300300013180012,bajo,Alto,Alto,La Paz
32.0,0.0,2.0,0.0,0.0,976.0,0.0,0.0,17,0.0,0.0,03,003,M03.01,0300300013180014,bajo,Alto,Alto,La Paz
55.0,0.0,3.0,0.0,0.0,1067.0,0.0,0.0,27,0.0,3.0,03,003,M03.01,0300300013180020,bajo,Alto,Alto,La Paz
18.0,0.0,1.0,0.0,0.0,652.0,0.0,0.0,57,0.0,0.0,03,003,M03.01,0300300013180011,bajo,Alto,Alto,La Paz
54.0,0.0,2.0,0.0,0.0,1267.0,0.0,0.0,95,0.0,0.0,03,003,M03.01,0300300013180019,bajo,Alto,Alto,La Paz
54.0,0.0,2.0,0.0,0.0,1267.0,0.0,0.0,99,0.0,0.0,03,003,M03.01,0300300013180018,bajo,Alto,Alto,La Paz
54.0,0.0,2.0,0.0,0.0,1267.0,0.0,0.0,40,0.0,0.0,03,003,M03.01,0300300013180008,bajo,Alto,Alto,La Paz
159.0,2.0,5.0,2.0,0.0,4585.0,0.0,0.0,90,0.0,23.0,03,003,M03.01,0300300011964021,bajo,Alto,Alto,La Paz
154.0,2.0,6.0,2.0,1.0,4153.0,0.0,0.0,64,0.0,4.0,03,003,M03.01,0300300011926037,bajo,Alto,Alto,La Paz
154.0,2.0,6.0,2.0,1.0,4153.0,0.0,0.0,63,0.0,4.0,03,003,M03.01,0300300011926048,bajo,Alto,Alto,La Paz
154.0,2.0,6.0,2.0,1.0,4153.0,0.0,0.0,45,0.0,4.0,03,003,M03.01,0300300011926035,bajo,Alto,Alto,La Paz
154.0,2.0,6.0,2.0,1.0,4153.0,0.0,0.0,31,0.0,4.0,03,003,M03.01,0300300011926034,bajo,Alto,Alto,La Paz
154.0,2.0,6.0,2.0,1.0,4153.0,0.0,0.0,50,0.0,4.0,03,003,M03.01,0300300011926036,bajo,Alto,Alto,La Paz
159.0,2.0,5.0,2.0,0.0,4585.0,0.0,0.0,63,0.0,23.0,03,003,M03.01,0300300011926029,bajo,Alto,Alto,La Paz
159.0,2.0,5.0,2.0,0.0,4585.0,0.0,0.0,62,0.0,23.0,03,003,M03.01,0300300011926038,bajo,Alto,Alto,La Paz
159.0,2.0,5.0,2.0,0.0,4585.0,0.0,0.0,82,0.0,23.0,03,003,M03.01,0300300011926028,bajo,Alto,Alto,La Paz
146.0,2.0,6.0,1.0,0.0,3365.0,0.0,0.0,80,0.0,4.0,03,003,M03.01,0300300011926026,bajo,Alto,Alto,La Paz
146.0,2.0,6.0,1.0,0.0,3365.0,0.0,0.0,35,0.0,4.0,03,003,M03.01,0300300013195022,bajo,Alto,Alto,La Paz
146.0,2.0,6.0,1.0,0.0,3365.0,0.0,0.0,90,0.0,4.0,03,003,M03.01,0300300013195026,bajo,Alto,Alto,La Paz
60.0,2.0,5.0,0.0,0.0,9944.0,0.0,0.0,4,107.0,60.0,03,003,M03.01,0300300012271048,bajo,Alto,Alto,La Paz
